Resultatbild - LPO Kristianstad;;;;;;;;;;;;;;;;;;
Delgrupp: Ingen filtrering;;;;;;;;;;;;;;;;;;
;2024;2023;2022;2021;2020_2;2020_1;2019;2018;2017;2016_2;2015;2013;2012;2011;2010;2009;2008;2007
;;;;;;;;;;;;;;;;;;
;Antal svar: 1084;Antal svar: 887;Antal svar: 950;Antal svar: 954;Antal svar: 1011;Antal svar: 1066;Antal svar: 1020;Antal svar: 880;Antal svar: 889;Antal svar: 432;Antal svar: 415;Antal svar: 419;Antal svar: 389;Antal svar: 460;Antal svar: 450;Antal svar: 461;Antal svar: 450;Antal svar: 240
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Utemiljö;;;;;;;;;;;;;;;;;;
Nedskräpning;34,96;35,47;40,11;42,7;42,66;39,43;41,37;36,14;35,64;36,23;28,94;31,77;31,78;36,32;35,59;30,78;29,23;32,5
Skadegörelse;34,14;29,42;38,29;38,34;33,86;29,24;34,67;32,1;30,51;32,34;24,95;27,36;29,2;31,47;34,35;32,36;42,14;37,5
;;;;;;;;;;;;;;;;;;
Missbruksproblem;;;;;;;;;;;;;;;;;;
Berusade personer, utomhus;13,22;10,91;18,03;17,07;21,46;12,24;16;14,26;12,99;16,42;12,96;14,48;12,38;13,66;17,01;16,02;19,58;17,08
Narkotikapåverkade personer, utomhus;16,06;15,38;19,61;17,84;21,32;13,96;16,32;14,55;14,22;12,59;9,33;9,88;6,34;7,83;10,52;9,61;11,72;7,92
Bostäder, tillhåll för alkoholmissbrukare;8,7;8,74;8,69;6,03;11,07;6,21;7,47;6,78;6,96;7,7;5,08;5,55;3,42;4,52;6,92;6,66;6,97;6,25
Bostäder, tillhåll för narkotikamissbrukare;10,96;9,55;9,85;9,4;13,52;8,41;10,14;8,63;8,11;9,7;4,95;5,39;4,46;5,65;10,09;6,98;7,57;7,92
Observerat narkotikaförsäljning i området;14,18;14,03;16,14;14,96;19,59;13,63;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Utomhusstörningar;;;;;;;;;;;;;;;;;;
Folk bråkar och slåss, utomhus;9,33;9,89;14,38;13,15;14,69;8,97;12,5;12,95;10,8;11,51;7,36;8,74;4,14;8,42;9,95;11,62;11,87;10
Kvinnor antastas;5,87;7,26;8,29;8,72;11,35;8,35;8,84;7,9;8,92;8,99;6,35;4,95;2,25;4,95;5,89;4,65;6,68;5,83
Ungdomsgäng bråkar och stör ordningen;20,3;20,8;28,95;27,31;26,58;21,3;26,26;23,91;18,89;24,94;15,42;15,96;15,3;19,5;23,36;22,09;30,27;26,25
Bilarna kör för fort;49,74;47,9;54,81;52,74;53,74;50,02;55,91;52,99;52,82;51,17;47,33;44,13;49,03;41,37;53,69;48,87;51,63;48,33
Buskörning med mopeder, mc;27,2;21,82;29,7;27,28;25,59;24,72;32,11;31,17;24,6;18,14;16,61;20,78;24,94;18,91;26,58;27,44;30,42;32,5
Trafikregler respekteras inte;26,95;26,85;28,58;29;32,17;27,07;30,41;28,12;26,79;24,44;22,93;18,77;22,52;20,34;25,07;21,48;23,59;23,75
;;;;;;;;;;;;;;;;;;
Andel uppfattat minst ett problem;;;;;;;;;;;;;;;;;;
Andel uppfattat minst ett problem;76,79;70,78;76,3;77,8;77,9;73,13;78,51;76,67;75,59;75,62;67,41;69,6;73,45;72,67;77,11;73,26;78,34;75,83
;;;;;;;;;;;;;;;;;;
Utsatthet för brott;;;;;;;;;;;;;;;;;;
Under sen 12 mån varit utsatt för fysiskt våld;0,87;0,79;1,7;1,17;1,37;1,45;1,03;1,31;1,14;1;0,31;0,65;1,73;1,6;1,65;3,64;1,19;2,92
Utsatt för stöld;9,4;5,98;9,42;8,14;11,16;11,58;10,32;12,13;9,82;12,33;9,51;12,59;11,87;11,64;11,75;10,75;14,09;13,33
Utsatts för skadegörelse;6,32;6,09;7,84;6,4;7,8;7,34;7,59;7,86;7,14;8,23;8,58;6,86;9,65;6,67;8,12;11,22;11,57;12,92
Andel utsatts för minst ett mängdbrott;14,13;11,02;15,63;13,44;16,33;17;14,79;16,08;15,97;17,11;15,5;18,3;18,07;17,16;18,81;20,06;21,36;22,08
Utsatts för bedrägeri;6,59;3,76;4,83;4,46;3,17;5,77;4,25;4,62;5,66;3,45;4,84;3,78;;;;;;
Utsatts för hot;5,73;4,5;6,4;5,62;5,66;3,99;5,56;4,71;6,01;5,77;5,28;3,13;;;;;;
Andel inte varit utsatt för något som helst brott;74,68;79,39;75,66;77,31;74,56;73,88;75,75;73,53;74,34;73,02;75,56;73,33;72,33;72,11;71,89;73,71;;
Anmälningsgrad;33,75;42,56;35;43,2;33,65;43,38;32,63;30,28;39,93;41,16;37,7;44,15;48,2;48,89;36,7;35,5;;
;;;;;;;;;;;;;;;;;;
Oro för att utsättas för brott;;;;;;;;;;;;;;;;;;
Att Du oroat Dig för inbrott i bostaden;41,36;42,63;48,75;47,39;46,3;50,92;53,13;51,33;50,38;52,1;56,96;45,39;50,24;50,89;50,94;52,18;55,49;43,33
Att Du oroat Dig för inbrott i förråd;45,11;41,25;49,46;46,51;48,5;49,57;54,05;48,81;51,08;50,13;51,5;40,84;42,38;47,05;49,64;45,81;51,04;41,67
Oro för att Din bil, mc, moped eller cykel ;48,65;50,2;55,14;51,12;57,92;54,33;53,78;56,48;51,67;51;53,35;43,35;48,4;48,19;50,41;51,96;53,71;51,67
Oro för överfallen/misshandlad i området;24,44;24,24;31,92;30,87;33,08;32,83;33,58;30,14;31,09;29,28;23,48;19,88;22,91;18,78;25,24;20,97;23,74;19,58
Andel varit orolig för någon typ av brott;64,21;65,5;71,39;68,01;72,67;72,01;71,34;71,58;71,74;68,71;72,33;64,46;69,7;72,31;69,46;69,82;72,4;65,83
;;;;;;;;;;;;;;;;;;
Konkret känsla av otrygghet;;;;;;;;;;;;;;;;;;
Trygg ute ensam sen kväll;62,97;59,43;50,97;52,76;47,29;54,3;55,89;56,23;54,11;54,51;67,66;67,67;66,28;65,52;64,86;64,37;57,86;62,92
Otrygg ute ensam sen kväll;24,13;28,31;33,72;35,1;36,66;33,96;32,04;31,02;31,87;31,41;19,46;18,89;20,85;20,96;24,67;21,27;24,48;19,17
Rädd för speciella personer i egna bostadsområdet ;10,43;10,09;12,24;9,08;11,33;9,93;11,76;9,81;10,45;9,97;7,16;6,04;6,07;7,34;10,49;5,15;7,85;5,02
Restaurang, bar eller disco;11,68;9,84;13,06;15,48;12,95;12,37;13;7,71;9,89;9,04;2,77;3,31;4,82;3,32;3,45;5,09;6,23;4,17
Sportevenemang;3,38;4,55;6,9;5,71;4,82;3,71;3,06;3,66;4,2;3,97;3,63;1,16;1,9;1,45;1,2;2,76;2,82;1,25
Föreningsmöten, kurser och liknande;2,97;3,01;4,82;5,93;5,47;5,07;4,13;3,37;4,25;5,44;3,47;1,49;2,25;1,31;3,17;2,48;2,08;1,25
Åka buss eller tåg;12,84;14,93;16,5;18,65;14,44;14,99;14,94;12,02;12,91;13,01;6,56;6,41;7,37;6,07;9,91;8,68;11,13;5
Andel avstått från någon typ av aktivitet;17,17;20,68;22,86;23,71;20,18;21,57;20,51;16,89;19,36;18,17;10,13;9,39;10,83;8,1;11,87;12,34;14,84;8,33
;;;;;;;;;;;;;;;;;;
Polisens agerande mot problem;;;;;;;;;;;;;;;;;;
Polisen bryr sig om de lokala problemen;48,14;48,84;50,72;50,34;49,16;44,48;45,21;47,88;43,78;41,66;41,27;38,08;44,61;41,82;49,51;47,12;40,06;46,25
Polisen bryr sig INTE om de lokala problemen;9,7;10,23;13,45;14,09;12,41;12,05;13,82;12,54;13,18;17,85;7,95;11,8;17;11,19;12,14;12,18;12,31;13,33
Relationskvot;20,16;20,94;26,53;28;25,24;27,09;30,57;26,19;30,1;42,85;19,26;30,98;38,11;26,76;24,52;25,84;30,74;28,83
;;;;;;;;;;;;;;;;;;
Tillit;;;;;;;;;;;;;;;;;;
Boende skulle EJ agera vid slagsmål;17,42;16,04;19,95;17,42;20,31;17,64;15,24;18;16,39;;;;;;;;;
Svag sammanhållning i bostadsområdet;11,79;9,88;11,52;11,34;16,22;11,5;10,44;10,89;9,9;;;;;;;;;